sensor_number;inverter_number;;Xsrn;Ysrn;Zsrn
1;1;;0,02;0,0153;0,6129
2;1;;2,02;0,0153;0,6129
3;1;;4,02;0,0153;0,6129
4;1;;6,02;0,0153;0,6129
5;1;;8,02;0,0153;0,6129
6;1;;10,02;0,0153;0,6129
7;1;;12,02;0,0153;0,6129
8;1;;14,02;0,0153;0,6129
9;1;;16,02;0,0153;0,6129
10;1;;18,02;0,0153;0,6129
11;1;;20,02;0,0153;0,6129
12;1;;22,02;0,0153;0,6129
13;1;;24,02;0,0153;0,6129
14;1;;26,02;0,0153;0,6129
15;1;;28,02;0,0153;0,6129
16;1;;30,02;0,0153;0,6129
17;1;;32,02;0,0153;0,6129
18;1;;34,02;0,0153;0,6129
19;1;;36,02;0,0153;0,6129
20;1;;38,02;0,0153;0,6129
21;1;;0,02;0,7814;1,2556
22;1;;2,02;0,7814;1,2556
23;1;;4,02;0,7814;1,2556
24;1;;6,02;0,7814;1,2556
25;1;;8,02;0,7814;1,2556
26;1;;10,02;0,7814;1,2556
27;1;;12,02;0,7814;1,2556
28;1;;14,02;0,7814;1,2556
29;1;;16,02;0,7814;1,2556
30;1;;18,02;0,7814;1,2556
31;1;;20,02;0,7814;1,2556
32;1;;22,02;0,7814;1,2556
33;1;;24,02;0,7814;1,2556
34;1;;26,02;0,7814;1,2556
35;1;;28,02;0,7814;1,2556
36;1;;30,02;0,7814;1,2556
37;1;;32,02;0,7814;1,2556
38;1;;34,02;0,7814;1,2556
39;1;;36,02;0,7814;1,2556
40;1;;38,02;0,7814;1,2556
41;2;;0,02;2,5474;0,6129
42;2;;2,02;2,5474;0,6129
43;2;;4,02;2,5474;0,6129
44;2;;6,02;2,5474;0,6129
45;2;;8,02;2,5474;0,6129
46;2;;10,02;2,5474;0,6129
47;2;;12,02;2,5474;0,6129
48;2;;14,02;2,5474;0,6129
49;2;;16,02;2,5474;0,6129
50;2;;18,02;2,5474;0,6129
51;2;;20,02;2,5474;0,6129
52;2;;22,02;2,5474;0,6129
53;2;;24,02;2,5474;0,6129
54;2;;26,02;2,5474;0,6129
55;2;;28,02;2,5474;0,6129
56;2;;30,02;2,5474;0,6129
57;2;;32,02;2,5474;0,6129
58;2;;34,02;2,5474;0,6129
59;2;;36,02;2,5474;0,6129
60;2;;38,02;2,5474;0,6129
61;2;;0,02;3,3135;1,2556
62;2;;2,02;3,3135;1,2556
63;2;;4,02;3,3135;1,2556
64;2;;6,02;3,3135;1,2556
65;2;;8,02;3,3135;1,2556
66;2;;10,02;3,3135;1,2556
67;2;;12,02;3,3135;1,2556
68;2;;14,02;3,3135;1,2556
69;2;;16,02;3,3135;1,2556
70;2;;18,02;3,3135;1,2556
71;2;;20,02;3,3135;1,2556
72;2;;22,02;3,3135;1,2556
73;2;;24,02;3,3135;1,2556
74;2;;26,02;3,3135;1,2556
75;2;;28,02;3,3135;1,2556
